governo,descricao,codOrgao,orgao,codUnidade,unidade,codPrograma,programa,codAcao,acao,segmento,codLocalizador,produto,medidaProvisoria,origemDado,link,tipo,anunciado,empenhado,liquidado,pago,dataInformacao
federal,Sistemas de Tecnologia de Informação e Comunicação para a Saúde (e-Saude),36000,Ministério da Saúde,36901,Fundo Nacional de Saúde,5121,"Gestão, Trabalho, Educação e Transformação Digital na Saúde",20YN,Sistemas de Tecnologia de Informação e Comunicação para a Saúde (e-Saude),Saúde,20YN6500,Sistema mantido (unidade): 1,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,5.727.000,,,,
federal,Implantação e Manutenção da Força Nacional do Sistema Único de Saúde (FN-SUS),36000,Ministério da Saúde,36901,Fundo Nacional de Saúde,5118,Atenção Especializada à Saúde,20QI,Implantação e Manutenção da Força Nacional do Sistema Único de Saúde (FN-SUS),Saúde,20QI6500,Serviço estruturado (unidade): 1,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,6.019.000,,,,
federal,"Benefícios Obrigatórios aos Servidores Civis, Empregados, Militares e seus Dependentes",36000,Ministério da Saúde,36210,Hospital Nossa Senhora da Conceição S.A. - CONCEIÇÃO,0032,Programa de Gestão e Manutenção do Poder Executivo,212B,"Benefícios Obrigatórios aos Servidores Civis, Empregados, Militares e seus Dependentes",Saúde,212B6501,Não especificado,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,7.889.420,,,,
federal,"Promoção, Proteção e Recuperação da Saúde Indígena",36000,Ministério da Saúde,36901,Fundo Nacional de Saúde,5122,Saúde Indígena,20YP,"Promoção, Proteção e Recuperação da Saúde Indígena",Saúde,20YP6501,População indígena beneficiada (unidade): 36.000,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,21.400.000,,,,
federal,Manutenção e Funcionamento do Programa Farmácia Popular do Brasil Pelo Sistema de Gratuidade,36000,Ministério da Saúde,36901,Fundo Nacional de Saúde,5117,Qualificação da Assistência Farmacêutica no Sistema Único de Saúde,20YR,Manutenção e Funcionamento do Programa Farmácia Popular do Brasil Pelo Sistema de Gratuidade,Saúde,20YR6500,Usuário atendido (unidade): 1.000,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,27.800.000,,,,
federal,Ativos Civis da União do Hospital Nossa Senhora da Conceição,36000,Ministério da Saúde,36210,Hospital Nossa Senhora da Conceição S.A. - CONCEIÇÃO,0032,Programa de Gestão e Manutenção do Poder Executivo,20TP,Ativos Civis da União,Saúde,20TP6501,Não especificado,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,44.951.000,,,,
federal,Disponibilização de Medicamentos do Componente Especializado,36000,Ministério da Saúde,36901,Fundo Nacional de Saúde,5117,Qualificação da Assistência Farmacêutica no Sistema Único de Saúde,4705,Promoção da Assistência Farmacêutica por meio da Disponibilização de Medicamentos do Componente Especializado,Saúde,47056500,Medicamento disponibilizado (unidade): 1.948.00,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,59.750.000,,,,
federal,Atenção à Saúde nos Serviços Ambulatoriais e Hospitalares do Ministério da Saúde,36000,Ministério da Saúde,36210,Hospital Nossa Senhora da Conceição S.A. - CONCEIÇÃO,5118,Atenção Especializada à Saúde,6217,Atenção à Saúde nos Serviços Ambulatoriais e Hospitalares do Ministério da Saúde,Saúde,62176513,Atendimento realizado (unidade): 1.130.000,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,62.500.000,,,,
federal,Promoção da Assistência Farmacêutica e Insumos Estratégicos na Atenção Básica em Saúde,36000,Ministério da Saúde,36901,Fundo Nacional de Saúde,5117,Qualificação da Assistência Farmacêutica no Sistema Único de Saúde,20AE,Promoção da Assistência Farmacêutica e Insumos Estratégicos na Atenção Básica em Saúde,Saúde,20AE6500,Município apoiado (unidade): 497,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,96.862.000,,,,
federal,Piso de Atenção Primária à Saúde,36000,Ministério da Saúde,36901,Fundo Nacional de Saúde,5119,Atenção Especializada à Saúde,219A,Piso de Atenção Primária à Saúde,Saúde,219A6502,Ente federativo apoiado (unidade): 497,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,107.815.310,,,,
federal,Fortalecimento do Sistema Nacional de Vigilância em Saúde e Ambiente,36000,Ministério da Saúde,36901,Fundo Nacional de Saúde,5123,Vigilância em Saúde e Ambiente,20YJ,Fortalecimento do Sistema Nacional de Vigilância em Saúde e Ambiente,Saúde,20YJ6501,População coberta (unidade): 10.882.965,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,160.000.000,,,,
federal,Atenção à Saúde da População para Procedimentos em Média e Alta Complexidade,36000,Ministério da Saúde,36901,Fundo Nacional de Saúde,5118,Atenção Especializada à Saúde,8585,Atenção à Saúde da População para Procedimentos em Média e Alta Complexidade,Saúde,85856516,Procedimento realizado (unidade): 17.000.00,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,328.960.580,,,,
estadual,"Produção de laudos, mapeamento, planos de intervenções e manutenção e telhados",,,,,,,GE15,Outras medidas - Obras,Obras,LOCAGE15,Não especificado,,Comunicação Governo Estadual,,Recursos novos,9.500.000,,,,
estadual,"Construção de casas definitivas com 44 metros quadrados de área total, sendo a contratação da empresa construtora feita pelos municípios",,,,,,,GE16,A Casa É Sua – Municípios,Habitação,LOCAGE15,250 unidades,,Comunicação Governo Estadual,,Recursos novos,20.000.000,,,,
estadual,Pagamento adiantado da bolsa-auxílio do Programa Todo Jovem na Escola,,,,,,,GE17,Antecipação da bolsa Todo Jovem na Escola,Educação,LOCAGE17,Alunos contemplados: 83 mil,,Comunicação Governo Estadual,,Antecipação de benefícios ou adiamento de tributos,12.900.000,,,,
estadual,Pagamento de recursos que podem ser utilizados em despesas que garantem o funcionamento e a melhoria da infraestrutura física e pedagógica das unidades escolares,,,,,,,GE18,Autonomia Financeira - Escolas,Educação,LOCAGE18,Escolas contempladas: 2.338,,Comunicação Governo Estadual,,Antecipação de benefícios ou adiamento de tributos,10.000.000,,,,
federal,Indenização pela flexibilização voluntária do repouso remunerado da PRF,30000,Ministério da Justiça e Segurança Pública,30107,Departamento de Polícia Rodoviária Federal,0909,Operações Especiais: Outros Encargos Especiais,00QV,Indenização Pela Flexibilização Voluntária do Repouso Remunerado,Segurança Pública,00QV6501,Indenização paga (unidade): 7.200,MP Nº 1.218 e MP Nº 1.223,Medida provisória e Portal da Transparência,,Recursos novos,6.480.000,,,,
federal,Atuação da Força Nacional de Segurança Pública,30000,Ministério da Justiça e Segurança Pública,30911,Fundo Nacional de Segurança Pública,5116,Segurança Pública com Cidadania,2B00,Atuação da Força Nacional de Segurança Pública,Segurança Pública,2B006502,Servidor aprestado (unidade): 700,MP Nº 1.218 e MP Nº 1.223,Medida provisória e Portal da Transparência,,Recursos novos,19.014.830,,,,
federal,"Prevenção e repressão ao tráfico ilícito de drogas e a crimes praticados contra bens, serviços e interesses da união pela Polícia Federal",30000,Ministério da Justiça e Segurança Pública,30108,Departamento de Polícia Federal,5116,Segurança Pública com Cidadania,2726,"Prevenção e Repressão ao Tráfico Ilícito de Drogas e a Crimes Praticados contra Bens, Serviços e Interesses da União",Segurança Pública,27266501,Não especificado,MP Nº 1.218 e MP Nº 1.223,Medida provisória e Portal da Transparência,,Recursos novos,23.293.135,,,,
federal,"Policiamento, fiscalização, enfrentamento à criminalidade e corrupção pela PRF",30000,Ministério da Justiça e Segurança Pública,30107,Departamento de Polícia Rodoviária Federal,5116,Segurança Pública com Cidadania,2723,"Policiamento, Fiscalização, Enfrentamento à Criminalidade e Corrupção",Segurança Pública,27236503,Operação realizada (unidade): 28,MP Nº 1.218 e MP Nº 1.223,Medida provisória e Portal da Transparência,,Recursos novos,24.453.066,,,,
federal,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,52000,Ministério da Defesa,52101,Ministério da Defesa - Administração Direta,6111,Cooperação da Defesa para o Desenvolvimento Nacional,21H2,Emprego Conjunto das Forças Armadas nas Ações de Proteção e Defesa Civil,Segurança Pública,21H26500,Atividade realizada (unidade): 1,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,1.122.693.138,,,,
federal,Pagamento de duas parcelas adicionais de seguro-desemprego,40000,Ministério do Trabalho e Emprego,40901,Fundo de Amparo ao Trabalhador,2310,"Promoção do Trabalho Decente, Emprego e Renda",00H4,Seguro-Desemprego,Trabalho,00H46500,Estimativa de beneficiar 139.633 trabalhadores de 336 municípios gaúchos,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,497.791.645,23.600.000,23.600.000,23.600.000,
federal,"Antecipação das parcelas de junho, julho e agosto do abono salarial para todos os trabalhadores do estado que tinham direito ao benefício.",40000,Ministério do Trabalho e Emprego,40901,Fundo de Amparo ao Trabalhador,2310,"Promoção do Trabalho Decente, Emprego e Renda",0581,Abono salarial,Trabalho,05810001,Trabalhadores beneficiados: 756.121,,Comunicação Governo Federal,,Antecipação de benefícios ou adiamento de tributos,792.610.625,792.610.625,792.610.625,792.610.625,
federal,Saque Calamidade,40000,Ministério do Trabalho e Emprego,,,,,GF08,Saque Calamidade,Trabalho,LOCAGF08,557 mil trabalhadors em 411 municípios,,Comunicação Governo Federal,,Recursos novos,4.200.000.000,1.800.000.000,1.800.000.000,1.800.000.000,
federal,Antecipação dos benefícios previdenciários,33000,Ministério da Previdência Social,33904,Fundo do regime geral da previdência social,2314,"Previdência social: promoção, garantia de direitos e cidadania",00SJ,Benefícios previdenciários,Trabalho,00SJ0001,Benefícios pagos: 2 milhões,,Comunicação Governo Federal,,Antecipação de benefícios ou adiamento de tributos,4.500.000.000,4.500.000.000,4.500.000.000,4.500.000.000,
federal,Antecipação de parcelas do abono salarial de trabalhadores que precisaram regularizar a sua situação para receber o benefício,40000,Ministério do Trabalho e Emprego,40901,Fundo de Amparo ao Trabalhador,2310,"Promoção do Trabalho Decente, Emprego e Renda",0581,Abono salarial,Trabalho,05810001,Trabalhadores beneficiados: 3.109,,Comunicação Governo Federal,,Antecipação de benefícios ou adiamento de tributos,3.500.000,0,0,0,
estadual,Distribuição das doações feitas através do PIX SOS Rio Grande do Sul,,,,,,,GE19,Pix SOS Rio Grande do Sul,assistência Social,LOCAGE19,Famílias beneficiadas: 10 mil,,Comunicação Governo Estadual,,Doações,119.000.000,,,,
federal,Funcionamento do Trensurb,56000,Ministério das Cidades,56201,Empresa de Trens Urbanos de Porto Alegre S.A. - TRENSURB,0032,Programa de Gestão e Manutenção do Poder Executivo,2843,Funcionamento dos Sistemas de Transporte Ferroviário Urbano de Passageiros,Transporte,28436500,Passageiro transportado (unidades por dia): 136.841,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,164.366.000,,,,
federal,Intervenções para Recuperação e Restauração de Rodovias Federais pelo DNIT,39000,Ministério dos Transportes,39252,Departamento Nacional de Infraestrutura de Transportes - DNIT,3106,Transporte Rodoviário,163Q,Intervenções para Recuperação e Restauração de Rodovias Federais,Transporte,163Q6500,Obra concluída (unidade): 250,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,1.185.949.636,,,,
estadual,"Construção de ponte sobre o Rio Forqueta, através dos recursos da praça de pedágio da EGR",,EGR,,,,,GE20,Plano para reconstrução das estradas,transporte,LOCAGE20,Ponte: 1,,Comunicação Governo Estadual,,Recursos novos,14.050.000,,,,
estadual,Antecipação de metade do 13º salário dos servidores públicos do Estado,,,,,,,GE21,Antecipação de metade do 13º salário,Trabalho,LOCAGE21,Servidores beneficiados: 350 mil,,Comunicação Governo Estadual,,Antecipação de benefícios ou adiamento de tributos,900.000.000,,,,
estadual,"Aporte para o setor cultural afetado pelo evento meteorológico de maio, por meio do programa Banrisul Reconstruir RS",,,,,,,GE22,Banrisul Reconstruir RS - Cultura,Cultura,LOCAGE22,Não especificado,,Comunicação Governo Estadual,,Recursos novos,25.000.000,,,,
federal,Importação de arroz,49000,Ministério do Desenvolvimento Agrário e Agricultura Familiar,49202,Companhia Nacional de Abastecimento - CONAB,5636,Abastecimento e Soberania Alimentar,2130,Formação de Estoques Públicos - AGF,,21306501,Produto adquirido (tonelada): 104.035.000,MP Nº 1.218,Medida provisória e Portal da Transparência,,Recursos novos,416.140.000,,,,
federal,Importação de arroz,49001,Ministério do Desenvolvimento Agrário e Agricultura Familiar,49203,Companhia Nacional de Abastecimento - CONAB,5636,Abastecimento e Soberania Alimentar,2130,Formação de Estoques Públicos - AGF,,21306501,Produto adquirido (tonelada): 895.965,MP Nº 1.225,Medida provisória e Portal da Transparência,,Recursos novos,4.758.409.000,,,,
